Contract Description,Vendor Name,Amount,Start Date,Contract No.,C.O. No.,Line No,SOA No.,Department,Contract Type,Tender Class,Community,Type,Fiscal Year
460-3340305 - Lantern Ring,INDUSTRIAL MACHINE INC        ,$54.39,2025-04-11,244500,,2,5734,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
460-3340294 - Wearing Sleeve,INDUSTRIAL MACHINE INC        ,$155.05,2025-04-11,244500,,3,5734,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
460-3340307 - Split Packing Gland,INDUSTRIAL MACHINE INC        ,$145.05,2025-04-11,244500,,4,5734,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
460-7050807 - Velcro Boot,INDUSTRIAL MACHINE INC        ,$311.52,2025-04-11,244500,,5,5734,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
460-6000872 - Hose Clamp,INDUSTRIAL MACHINE INC        ,$27.12,2025-04-11,244500,,6,5734,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
460-6000088 - Hose Clamp,INDUSTRIAL MACHINE INC        ,$37.74,2025-04-11,244500,,7,5734,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
$445.12 Air Freight & Duty/Brokerage,INDUSTRIAL MACHINE INC        ,$445.12,2025-04-11,244500,,8,5734,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
460-7230219 - Swivel,INDUSTRIAL MACHINE INC        ,"$2,584.28",2025-04-16,244591,,1,5734,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
460-7050807 - Velco Boot,INDUSTRIAL MACHINE INC        ,$218.08,2025-04-16,244591,,2,5734,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
460-6000872 - Clamp,INDUSTRIAL MACHINE INC        ,$17.94,2025-04-16,244591,,3,5734,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
460-6000088 - Clamp,INDUSTRIAL MACHINE INC        ,$25.16,2025-04-16,244591,,4,5734,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
460-3352615 - Gasket,INDUSTRIAL MACHINE INC        ,$247.28,2025-04-16,244591,,5,5734,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
$163.04 Air Freight + $637.85 Duty,INDUSTRIAL MACHINE INC        ,$800.89,2025-04-16,244591,,6,5734,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
"UNDERBODY PLOW HEIGHT POST *ONLY*, 23 3/8"" (11/16"")",VIKING-CIVES LTD              ,"$2,080.00",2025-04-03,244347,,1,5979,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,P,2025-26
"G3 100-4.25, (3/PG0421003VM0183) LIFT CYLINDER, DUMP BOX",VIKING-CIVES LTD              ,"$2,900.00",2025-04-17,244592,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
01903454 LH MUD FLAP HANGER,VIKING-CIVES LTD              ,$76.45,2025-05-14,245049,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
0530036 4 WAY SOLENOID VALVE.,VIKING-CIVES LTD              ,$114.15,2025-05-30,245342,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
CYLINDER HYDRAULIC LIFT,AEBI SCHMIDT CANADA INC       ,$882.12,2025-04-09,244450,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
501-139685-1  O-RING,AEBI SCHMIDT CANADA INC       ,$48.51,2025-04-15,244548,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
501-139581-05  INPUT SEAL,AEBI SCHMIDT CANADA INC       ,$125.09,2025-04-16,244589,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
501-139684-2  O-RING,AEBI SCHMIDT CANADA INC       ,$16.67,2025-04-16,244589,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
501-139684-3  EXPANSION PLUG,AEBI SCHMIDT CANADA INC       ,$59.29,2025-04-16,244589,,3,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
"GASKET, DIESEL PARTICULATE FILTER",BRANDT TRUCK RIGGING          ,$272.70,2025-04-04,244354,,1,5834,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,P,2025-26
DOSER INJECTOR SEAL (MATES W/ITEM 18421),BRANDT TRUCK RIGGING          ,$95.44,2025-04-04,244354,,2,5834,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,P,2025-26
FUEL FILTER,BRANDT TRUCK RIGGING          ,"$1,399.56",2025-04-04,244355,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
"4373992  HARNESS, CUMMINS ENGINE CONTROL",BRANDT TRUCK RIGGING          ,"$2,292.70",2025-04-15,244567,,1,5834,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
"4955665, KIT, REAR MAIN SEAL",BRANDT TRUCK RIGGING          ,$253.53,2025-04-29,244732,,1,5834,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,P,2025-26
"4089544, FRONT MAIN SEAL",BRANDT TRUCK RIGGING          ,$241.02,2025-04-29,244732,,2,5834,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,P,2025-26
BELT TENSIONER,BRANDT TRUCK RIGGING          ,"$1,410.86",2025-04-29,244752,,1,5834,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,P,2025-26
3685699 - Clip,BRANDT TRUCK RIGGING          ,$12.68,2025-05-08,244923,,1,5834,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,P,2025-26
3686370 - Wiring Harness,BRANDT TRUCK RIGGING          ,$437.78,2025-05-08,244923,,2,5834,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,P,2025-26
3686525 - Connector Seal,BRANDT TRUCK RIGGING          ,$53.43,2025-05-08,244923,,3,5834,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,P,2025-26
3685700 - Threaded Spacer,BRANDT TRUCK RIGGING          ,$20.06,2025-05-08,244923,,4,5834,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,P,2025-26
$40 Freight,BRANDT TRUCK RIGGING          ,$40.00,2025-05-08,244923,,5,5834,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,P,2025-26
3104230  METAL GASKET,BRANDT TRUCK RIGGING          ,$140.00,2025-05-23,245189,,1,5834,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
3683144  V-BAND CLAMP,BRANDT TRUCK RIGGING          ,$205.58,2025-05-23,245189,,2,5834,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
4386982  GASKET,BRANDT TRUCK RIGGING          ,$366.04,2025-05-23,245189,,3,5834,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
4386983  GASKET,BRANDT TRUCK RIGGING          ,$67.59,2025-05-23,245189,,4,5834,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
3683940  SEAL,BRANDT TRUCK RIGGING          ,$373.36,2025-05-23,245189,,5,5834,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
4324704  MANIFOLD SECTION,BRANDT TRUCK RIGGING          ,$591.19,2025-05-23,245189,,6,5834,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
4965698  SCREW (HI-TEMP BOLT),BRANDT TRUCK RIGGING          ,$157.44,2025-05-23,245189,,7,5834,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
2865048  SEAL,BRANDT TRUCK RIGGING          ,$29.66,2025-05-23,245189,,8,5834,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
3687051  CARRIER SEAL,BRANDT TRUCK RIGGING          ,$84.70,2025-05-23,245189,,9,5834,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
"3688976  CONNECTION, EXHAUST",BRANDT TRUCK RIGGING          ,$75.51,2025-05-23,245189,,10,5834,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
"3689355  PIPE, EXHAUST CONNECTION",BRANDT TRUCK RIGGING          ,$351.83,2025-05-23,245189,,11,5834,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
3685124  O-RING,BRANDT TRUCK RIGGING          ,$10.55,2025-05-23,245189,,12,5834,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
"3104392, GASKET, ROCKER COVER",BRANDT TRUCK RIGGING          ,$116.11,2025-05-27,245252,,1,5834,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,P,2025-26
"3104388, VIBRATION ISOLATOR, BOLT",BRANDT TRUCK RIGGING          ,$170.56,2025-05-27,245252,,2,5834,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,P,2025-26
"3686035, O-RING GASKET, EGR TUBE TO INTAKE",BRANDT TRUCK RIGGING          ,$22.48,2025-05-27,245252,,3,5834,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,P,2025-26
"SET423, (6461A/6420) BEARING AND RACE SET",PACESETTER PRODUCTS LTD O/A   ,$547.36,2025-04-01,244282,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
"SET424, (555S/552A), BEARING AND RACE SET",PACESETTER PRODUCTS LTD O/A   ,$418.62,2025-04-01,244282,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
"GREASE, SHELL SRS2000 EXTREME 2",PACESETTER PRODUCTS LTD O/A   ,"$1,856.00",2025-04-02,244285,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
"TIM SET401, BEARING SET",PACESETTER PRODUCTS LTD O/A   ,$219.96,2025-04-02,244294,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
"TIM SET403, BEARING SET",PACESETTER PRODUCTS LTD O/A   ,$259.96,2025-04-02,244294,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
DSH660P  UNIVERSAL DUST SHEILD,PACESETTER PRODUCTS LTD O/A   ,$220.12,2025-04-02,244323,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
"CARTRIDGE, AD-SP AIR DRYER",PACESETTER PRODUCTS LTD O/A   ,$68.80,2025-04-04,244314,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
"BRACKET, MUDFLAP ANTI-SAIL              (DUAL WHEELS)",PACESETTER PRODUCTS LTD O/A   ,$31.98,2025-04-04,244314,,3,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
HS1172 FTR SLACK ADJUSTER,PACESETTER PRODUCTS LTD O/A   ,$194.59,2025-04-04,244363,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
Freight APPROX $ 49.36,PACESETTER PRODUCTS LTD O/A   ,$49.36,2025-04-04,244363,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
170.298818 AIR VALVE BUTTON,PACESETTER PRODUCTS LTD O/A   ,$13.10,2025-04-04,244368,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
610-0065 HUB CAP BRACKET,PACESETTER PRODUCTS LTD O/A   ,$36.78,2025-04-04,244374,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
"SWITCH, PRESSURE 10LB BLUE",PACESETTER PRODUCTS LTD O/A   ,$192.16,2025-04-04,244388,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
"SWITCH, PRESSURE 6LB YELLOW",PACESETTER PRODUCTS LTD O/A   ,$126.05,2025-04-04,244388,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
94768  STT PLUG ADAPTER,PACESETTER PRODUCTS LTD O/A   ,$80.79,2025-04-07,244390,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
TIG10502  TIGER TOOL PRESS,PACESETTER PRODUCTS LTD O/A   ,$134.90,2025-04-07,244393,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
1246V1166 - AXLE DOWEL CONE,PACESETTER PRODUCTS LTD O/A   ,$7.16,2025-04-07,244397,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
"ABS Sensor Kit Straight 78"" - 2 Pin Din",PACESETTER PRODUCTS LTD O/A   ,$310.05,2025-04-08,244408,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
HUB WINDOW KIT,PACESETTER PRODUCTS LTD O/A   ,$34.36,2025-04-08,244431,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
BEN109495  HEATER/THERMO KIT,PACESETTER PRODUCTS LTD O/A   ,$162.16,2025-04-09,244458,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
85668 - Dorman Fuse Block,PACESETTER PRODUCTS LTD O/A   ,$49.56,2025-04-15,244559,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
$17.51 Freight,PACESETTER PRODUCTS LTD O/A   ,$17.51,2025-04-15,244559,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
TIG10502-4  FORCING SCREW,PACESETTER PRODUCTS LTD O/A   ,$69.30,2025-04-15,244566,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
FREIGHT  $31.38,PACESETTER PRODUCTS LTD O/A   ,$31.38,2025-04-15,244566,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
B151-7168-2-SRV - Fuse Panel Cover,PACESETTER PRODUCTS LTD O/A   ,$21.66,2025-04-17,244614,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
$20.00 Freight,PACESETTER PRODUCTS LTD O/A   ,$20.00,2025-04-17,244614,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
PH15  PINTLE HOOK - 15 TON,PACESETTER PRODUCTS LTD O/A   ,$149.10,2025-04-22,244633,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
BEN800019 1/2 SAFETY VALVE,PACESETTER PRODUCTS LTD O/A   ,$65.39,2025-04-24,244662,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
DSH601G  RR BRK DUST SHIELD,PACESETTER PRODUCTS LTD O/A   ,$166.88,2025-04-24,244668,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
31429 RAD CAP ADAPTOR,PACESETTER PRODUCTS LTD O/A   ,$102.15,2025-04-24,244669,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
P551122 FUEL FILTER,PACESETTER PRODUCTS LTD O/A   ,$56.29,2025-04-24,244671,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
R004952 AXLE FLANGE STUD,PACESETTER PRODUCTS LTD O/A   ,$46.13,2025-04-24,244671,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
562.316 - Mudflap Hanger (Angled),PACESETTER PRODUCTS LTD O/A   ,$70.87,2025-04-28,244710,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
BRAKE DRUM,PACESETTER PRODUCTS LTD O/A   ,$889.36,2025-04-28,244723,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
"CARTRIDGE, AD-SP AIR DRYER",PACESETTER PRODUCTS LTD O/A   ,$68.80,2025-04-28,244723,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
"KIT, Q AND Q+ BRAKE HARDWARE",PACESETTER PRODUCTS LTD O/A   ,$148.56,2025-04-28,244723,,3,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
WEM02-00118  WHEEL STUD,PACESETTER PRODUCTS LTD O/A   ,$4.73,2025-04-29,244741,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
201.3014 WHEEL NUT,PACESETTER PRODUCTS LTD O/A   ,$9.17,2025-04-29,244741,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
SLACK ADJUSTER,PACESETTER PRODUCTS LTD O/A   ,$267.10,2025-04-29,244757,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
UTRK08-219-90 - Hub & Drum,PACESETTER PRODUCTS LTD O/A   ,"$2,663.08",2025-04-30,244792,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
UTRK71-125-00 - Electric Brake Magnet,PACESETTER PRODUCTS LTD O/A   ,$384.00,2025-04-30,244792,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
"UTRK71-127-00 - Electric Brake Shoe 12""x2""",PACESETTER PRODUCTS LTD O/A   ,$534.28,2025-04-30,244792,,3,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
GRO65390-5  LED STT TRAILER LIGHT KIT,PACESETTER PRODUCTS LTD O/A   ,$140.22,2025-04-30,244793,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
FREIGHT  $42.77,PACESETTER PRODUCTS LTD O/A   ,$42.77,2025-04-30,244793,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
"SEL 342501 (342500), VALVE, AIR START",PACESETTER PRODUCTS LTD O/A   ,$176.84,2025-05-01,244807,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
"SLN 451030, 1/4 NYLON AIR LINE, BLACK P/FT",PACESETTER PRODUCTS LTD O/A   ,$28.20,2025-05-01,244807,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
"NEW BRAKE SHOE (16.5X7"" ROCKWELL Q+ 4707D) NO CORE",PACESETTER PRODUCTS LTD O/A   ,$897.28,2025-05-05,244867,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
ANGLED MUD FLAP REFLECTIVE STRIP,PACESETTER PRODUCTS LTD O/A   ,$106.94,2025-05-05,244867,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
"ADJUSTER, AUTOMATIC SLACK",PACESETTER PRODUCTS LTD O/A   ,$583.77,2025-05-05,244867,,3,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
HOL.LGS-3A115 LANDING GEAR KIT,PACESETTER PRODUCTS LTD O/A   ,"$1,049.01",2025-05-06,244891,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
"UTR023-180-00 - LH Brake Assembly 12""x2"" 7K Electric",PACESETTER PRODUCTS LTD O/A   ,$439.62,2025-05-06,244895,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
"UTR023-181-00 - RH Brake Assembly 12""x2"" 7K Electric",PACESETTER PRODUCTS LTD O/A   ,$439.62,2025-05-06,244895,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
H810005 - Clevis Pin Kit,PACESETTER PRODUCTS LTD O/A   ,$18.64,2025-05-08,244936,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
10375Y - Trucklite Marker Lamp,PACESETTER PRODUCTS LTD O/A   ,$42.40,2025-05-08,244936,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
"BRACKET, MUDFLAP ANTI-SAIL              (DUAL WHEELS)",PACESETTER PRODUCTS LTD O/A   ,$42.50,2025-05-12,244999,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
STARTER,PACESETTER PRODUCTS LTD O/A   ,$762.52,2025-05-12,244999,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
TRB068M04-1R  BRAKE SHOE,PACESETTER PRODUCTS LTD O/A   ,$255.44,2025-05-13,245043,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
BHK068  BRK HARDWARE KIT,PACESETTER PRODUCTS LTD O/A   ,$108.22,2025-05-13,245043,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
TIMSET413  OUTER WHEEL BRG SET,PACESETTER PRODUCTS LTD O/A   ,$220.04,2025-05-13,245043,,3,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
TIMSET414  INNER WHEEL BRG SET,PACESETTER PRODUCTS LTD O/A   ,$330.24,2025-05-13,245043,,4,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
TRB068M04-1RCORE  CORE,PACESETTER PRODUCTS LTD O/A   ,$137.04,2025-05-13,245043,,5,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
M1D40010225 SLACK ADJUSTER BOOSTER,PACESETTER PRODUCTS LTD O/A   ,$204.64,2025-05-14,245066,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
M1D40010224 SLACK ADJUSTER BOOSTER,PACESETTER PRODUCTS LTD O/A   ,$204.64,2025-05-14,245066,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
TSEHD2424C  BRK CHAMBER W/CLEVIS,PACESETTER PRODUCTS LTD O/A   ,$350.92,2025-05-15,245106,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
"SEL110500  VALVE, SPRING BRK CONTROL",PACESETTER PRODUCTS LTD O/A   ,$124.73,2025-05-15,245120,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
WAB472-195-0330 - Relay Valve,PACESETTER PRODUCTS LTD O/A   ,$627.59,2025-05-22,245167,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
HKN28600 - Full Function Trailer Valve,PACESETTER PRODUCTS LTD O/A   ,$240.57,2025-05-22,245175,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
X60105 BRAKE DRUM,PACESETTER PRODUCTS LTD O/A   ,$741.76,2025-05-26,245223,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
"VELHDM12811 - Convex Mirror 8.5"" Round Heated Offset Mount",PACESETTER PRODUCTS LTD O/A   ,$51.30,2025-05-26,245225,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
550041811 - ELC 50/50 205L,PACESETTER PRODUCTS LTD O/A   ,"$1,725.56",2025-05-26,245226,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
"GREASE, SHELL SRS2000 EXTREME 2",PACESETTER PRODUCTS LTD O/A   ,"$2,505.00",2025-05-27,245254,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
"P270541 - Raincap 5""",PACESETTER PRODUCTS LTD O/A   ,$46.48,2025-05-27,245266,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
"WAK49064 - Exhaust Pipe 5"" per foot",PACESETTER PRODUCTS LTD O/A   ,$118.25,2025-05-27,245266,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
550026711  AW32 HYD OIL,PACESETTER PRODUCTS LTD O/A   ,$470.82,2025-05-28,245285,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
"179.YK5005, CLEVIS KIT, 5/8 -18",PACESETTER PRODUCTS LTD O/A   ,$47.60,2025-06-02,245377,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
"MSA500, BUSHING, SLACK ADJUSTER",PACESETTER PRODUCTS LTD O/A   ,$35.40,2025-06-02,245377,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
Glass Bead,QONTRAC SERVICES LTD          ,"$77,101.50",2025-04-01,243926,,1,5861,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,P,2025-26
Paint Solvent,QONTRAC SERVICES LTD          ,"$11,745.14",2025-04-01,243926,,2,5861,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,P,2025-26
10R140 TRANSMISSION REMANUFACTURED W/TORQUE CONVERTER,NORTH AMERICAN POWERTRAIN     ,"$7,495.00",2025-05-09,244943,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
ET9200ELITE SCAN TOOL,YUKON TOOL WAGON LTD          ,"$14,830.70",2025-05-26,245214,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
"DW1656GTN  RH WINDSHIELD, SUPPLY & INSTALL",YUKON GLASS LTD               ,$270.50,2025-05-06,244885,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
"DW1658, WINDSHIELD, INSTALLED",CDEDREPAIRS,$692.00,2025-04-02,244332,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
"2333235, BACK WINDOW",CDEDREPAIRS,$380.00,2025-05-14,245087,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
"NPN, DOOR GLASS",CDEDREPAIRS,$825.00,2025-05-14,245088,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
NPN DOOR GLASS,CDEDREPAIRS,$825.00,2025-05-14,245089,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
NPN DOOR GLASS,CDEDREPAIRS,$800.00,2025-05-14,245090,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
GAUGE 0 - 160 PSI,CDYKPUMP,$54.95,2025-04-01,244271,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
